Director,mean,count
Rob Reiner,6.971428571428571,14
Doug Liman,6.966666666666667,9
Mike Judge,6.966666666666666,3
Jim Abrahams,6.966666666666666,3
David Yates,6.966666666666666,3
Irvin Kershner,6.966666666666666,3
Jason Reitman,6.966666666666666,6
Adam McKay,6.9625,8
Lilly Wachowski,6.957142857142857,7
William Gazecki,6.95,2
Dan Fogelman,6.95,2
David Mamet,6.95,2
Xavier Beauvois,6.95,2
Karan Johar,6.95,2
Kimberly Peirce,6.95,2
Julian Jarrold,6.95,2
Gary Trousdale,6.95,2
George Tillman Jr.,6.95,6
Zack Snyder,6.95,8
Larry Clark,6.95,2
Kirk Wise,6.95,2
Richard Kwietniowski,6.95,2
Chris Noonan,6.95,2
Rodrigo GarcÃ­a,6.95,2
Anna Boden,6.949999999999999,2
Mark Romanek,6.949999999999999,2
Sam Hargrave,6.949999999999999,2
Tommy Lee Jones,6.949999999999999,2
Werner Herzog,6.949999999999999,2
James Ivory,6.942857142857143,7
Glenn Ficarra,6.94,5
John Requa,6.94,5
Woody Allen,6.938095238095237,21
Len Wiseman,6.933333333333334,3
Mike Binder,6.933333333333334,3
Michel Gondry,6.925000000000001,4
Allen Hughes,6.92,5
Scott Cooper,6.92,5
Noah Baumbach,6.92,5
John Landis,6.916666666666667,6
Ryan Murphy,6.9125,8
Ang Lee,6.909999999999999,10
Busby Berkeley,6.9,2
Jonathan Goldstein,6.9,4
Lee Toland Krieger,6.9,2
Mike Hodges,6.9,2
John Francis Daley,6.9,4
Ron Maxwell,6.9,2
John Maclean,6.9,2
Darren Press,6.9,2
Alex Gibney,6.9,2
C. Fraser Press,6.9,2
Billy Bob Thornton,6.9,2
Anthony Mann,6.9,2
Warwick Thornton,6.9,2
Mina T. Son,6.9,2
Vadim Perelman,6.9,2
Ben Younger,6.9,2
Jon Shear,6.9,2
Sara Newens,6.9,2
Robert Townsend,6.9,2
Tamara Jenkins,6.9,2
Mike Newell,6.8999999999999995,6
Leigh Whannell,6.8999999999999995,3
Francis Lawrence,6.8999999999999995,7
Wolfgang Petersen,6.8999999999999995,7
Alan J. Pakula,6.8999999999999995,3
Tony Scott,6.890000000000001,10
Gina Prince-Bythewood,6.883333333333333,6
Penny Marshall,6.883333333333333,6
Gavin Hood,6.88,5
John Carpenter,6.878571428571428,14
Pierre Coffin,6.875,4
Mike Mills,6.875,4
J.C. Chandor,6.875,4
Kenneth Branagh,6.869230769230769,13
Jessie Nelson,6.866666666666667,3
Jee-woon Kim,6.866666666666667,3
Nigel Cole,6.866666666666667,3
Zach Braff,6.866666666666667,3
Gareth Edwards,6.866666666666667,3
Tim McCanlies,6.866666666666667,3
Martin Campbell,6.866666666666666,9
Ron Howard,6.8625,16
Mark Dindal,6.8500000000000005,4
Andrew Dominik,6.85,2
Stefan Ruzowitzky,6.85,2
Ed Harris,6.85,2
Pete Travis,6.85,2
Jean-Paul Rappeneau,6.85,2
Gary Goldman,6.85,2
Thomas Carter,6.85,4
Jordan Vogt-Roberts,6.85,2
FranÃ§ois Ozon,6.85,2
Lasse HallstrÃ¶m,6.841666666666666,12
Chris Renaud,6.840000000000001,5
Robert Redford,6.840000000000001,5
Atom Egoyan,6.840000000000001,5
James Wan,6.833333333333333,9
Mira Nair,6.833333333333333,6
Ash Brannon,6.833333333333333,3
John Wells,6.833333333333333,3
Richard Schenkman,6.833333333333333,3
Brad Anderson,6.825,4
Todd Phillips,6.822222222222222,9
Matt Reeves,6.82,5
George Sidney,6.82,5
Cameron Crowe,6.816666666666666,6
Joe Wright,6.8125,8
George Miller,6.8,10
Aaron Blaise,6.8,2
Peter Sollett,6.8,3
F. Gary Gray,6.8,10
Jill Sprecher,6.8,2
Michael B. Jordan,6.8,3
John Bellucci,6.8,2
Ed Redlich,6.8,2
David Anspaugh,6.8,2
John Madden,6.8,7
John Wayne,6.8,2
Robert Walker,6.8,2
Dena Seidel,6.8,2
Kelly Reichardt,6.8,3
Walter Salles,6.8,2
Dagur KÃ¡ri,6.8,2
Mars Callahan,6.8,2
Steve Buscemi,6.8,2
Larry Blamire,6.8,2
Lana Wachowski,6.8,8
Yimou Zhang,6.8,5
William Peter Blatty,6.8,2
Phillip Noyce,6.7875000000000005,8
Scott Hicks,6.779999999999999,5
Jeff Tremaine,6.775,4
Joe Carnahan,6.775,4
Steven Soderbergh,6.7681818181818185,22
Andrea Arnold,6.766666666666667,3
David Schwimmer,6.766666666666667,3
Steve Martino,6.766666666666667,3
Carlos Saldanha,6.766666666666667,6
Niki Caro,6.766666666666667,6
Greg Mottola,6.766666666666667,3
Peter Hedges,6.766666666666667,3
Neil Burger,6.757142857142857,7
Sarah Gavron,6.75,2
John Erick Dowdle,6.75,6
Michael Crichton,6.75,2
Michael Hoffman,6.75,4
Peter Landesman,6.75,2
Henry King,6.75,2
Richard Donner,6.75,12
LÃ©a Pool,6.75,2
Michael Radford,6.75,2
Norman Jewison,6.74,5
Don Bluth,6.74,5
Victor Nunez,6.733333333333333,3
Roger Michell,6.733333333333333,3
Baltasar KormÃ¡kur,6.733333333333333,6
Josh Boone,6.733333333333333,3
Michael Showalter,6.733333333333333,3
Guy Hamilton,6.733333333333333,6
Chris Columbus,6.733333333333333,12
Rod Lurie,6.7250000000000005,4
George Nolfi,6.725,4
Pierre Morel,6.720000000000001,5
Nancy Meyers,6.720000000000001,5
Kevin Reynolds,6.720000000000001,5
Antoine Fuqua,6.720000000000001,10
Curtis Hanson,6.714285714285714,7
Brian De Palma,6.709999999999999,10
Blake Edwards,6.7,3
Angelin Preljocaj,6.7,2
Jay Russell,6.7,3
Irwin Winkler,6.7,3
Akiva Schaffer,6.7,2
Peter Stebbings,6.7,2
E.L. Katz,6.7,2
Lynn Shelton,6.7,2
ValÃ©rie MÃ¼ller,6.7,2
Steven Shainberg,6.7,3
Jonathan Lynn,6.7,4
Alexandre Rockwell,6.7,2
John Schlesinger,6.7,5
Shane Black,6.7,3
Dave McKean,6.7,2
Bille August,6.699999999999999,2
Billy Ray,6.699999999999999,2
Taylor Hackford,6.683333333333334,6
Gabriele Muccino,6.68,5
Eric Darnell,6.68,5
Larry Charles,6.675,4
John Dahl,6.675,4
Robert Altman,6.675,4
Jennifer Yuh Nelson,6.666666666666667,3
Lewis Gilbert,6.666666666666667,3
Leonard Nimoy,6.666666666666667,3
Barbra Streisand,6.666666666666667,3
Justin Chadwick,6.666666666666667,3
Andy Muschietti,6.666666666666667,3
Zal Batmanglij,6.666666666666667,3
Dan Gilroy,6.666666666666667,3
Tomas Alfredson,6.666666666666667,3
Iain Softley,6.666666666666667,3
David O. Russell,6.6625,8
Ruben Fleischer,6.6571428571428575,7
Spike Lee,6.655555555555555,18
Lexi Alexander,6.65,2
Steve Hickner,6.65,2
Rowdy Herrington,6.65,2
Conrad Vernon,6.65,4
Paul McGuigan,6.65,4
Olivier Assayas,6.65,2
Michael O. Sajbel,6.65,2
Hans Petter Moland,6.65,2
Randall Miller,6.65,2
Randall Wallace,6.65,4
Jane Campion,6.65,4
James Franco,6.65,2
Sharon Maguire,6.65,2
Dennis Gansel,6.65,2
John Woo,6.6499999999999995,6
David Dobkin,6.642857142857143,7
David Frankel,6.640000000000001,5
George A. Romero,6.636363636363637,11
Rob Marshall,6.633333333333333,3
Genndy Tartakovsky,6.633333333333333,3
Gregory Hoblit,6.633333333333333,3
Julie Taymor,6.633333333333333,3
Ãlex de la Iglesia,6.633333333333333,3
Andrea Di Stefano,6.633333333333333,3
Tony Gilroy,6.633333333333333,3
Leslie Small,6.633333333333333,3
James Gray,6.628571428571428,7
David Twohy,6.625,4
Mike Nichols,6.625,4
Gavin O Connor,6.625,4
Mimi Leder,6.625,4
Richard LaGravenese,6.62,5
Justin Lin,6.616666666666667,6
Neil Jordan,6.6125,8
Nicolas Winding Refn,6.6000000000000005,6
Michael Schultz,6.6000000000000005,3
Roger Donaldson,6.6000000000000005,7
Carl Franklin,6.6000000000000005,3
Jonathan Glazer,6.6000000000000005,3
Teddy Chan,6.6,2
Karen Moncrieff,6.6,2
Anna Rose Holmer,6.6,2
Shari Springer Berman,6.6,2
Stefan Schwartz,6.6,2
Jonathan Kasdan,6.6,2
Brian Henson,6.6,2
Sydney Pollack,6.6,5
Sean Byrne,6.6,2
Edward Norton,6.6,2
Nick Park,6.6,2
Fede Alvarez,6.6,2
Eli Craig,6.6,2
Jay Roach,6.6,10
Ol Parker,6.6,4
Herbert Ross,6.6,2
Jake Schreier,6.6,2
Nicholas Hytner,6.6,5
James McTeigue,6.6,4
Michael Sucsy,6.6,2
EugÃ¨ne LouriÃ©,6.6,2
Anne Fontaine,6.6,4
Walter Lang,6.6,2
Christian Tafdrup,6.6,2
Mark Mylod,6.6,2
Robert Pulcini,6.6,2
David Hewlett,6.6,2
Bethany Ashton Wolf,6.599999999999999,3
Frank Oz,6.5875,8
Tom McGrath,6.585714285714286,7
Tom Hooper,6.58,5
Warren Beatty,6.58,5
Alex Proyas,6.575,4
D.W. Griffith,6.575,4
Richard Fleischer,6.571428571428571,7
Sam Fell,6.566666666666666,3
Anthony Russo,6.566666666666666,3
Michael Dowse,6.566666666666666,3
